Question,Answer,Class
Can I be insured for a trip of any duration under the Travel Insurance policy,"Yes, our travel plans provide coverage for trips as short as 1 – 4 days.",insurance
Does the Travel Insurance policy cover pre-existing diseases,This policy does not cover pre-existing diseases. A pre-existing illness is one the insured is suffering from before buying the policy.,insurance
Can a Travel Insurance policy be extended,Extensions are applicable to original policies of 30 days or more and provided the policy is still in force.,insurance
Can the Travel Insurance plan coverage period be reduced,No refund is allowed after the start of the journey. No refund is allowed for curtailment of risk.,insurance
Who do I contact in the case of hospitalization when covered under Travel Insurance,You have to contact the International SOS immediately in the case of hospitalization. They also provide any information to deal with any problem regarding claims.,insurance
Who do I contact in the case of hospitalization,You have to contact the International SOS immediately in the case of hospitalization. They also provide any information to deal with any problem regarding claims.,insurance
Where can I get the list of hospitals extending the cash facility,There is no standard list of hospitals. The insured needs to intimate the International SOS immediately on admission so that the cashless facility may be extended by the assistance provider.,insurance
For how many days can the Travel Insurance policy be extended,The policy may be extended for a maximum of 180 days. The total policy period including extension should not exceed 360 days.,insurance
What are the eligibility criteria for a Travel Insurance policy,Our Travel Insurance policy is available to people of any age between 6 months and 70 years.,insurance
Who do I contact for a claim on the Travel Insurance policy,"In the event of a covered emergency and to register claims call our International SOS Provider, ERV – 24 hour helpline centre and quote the Policy Holders’ Name, the Policy Number, Insurance Company, Passport Number when seeking assistance within 24 hours. The contact details are: Email: [email protected] Toll Free No: 1866 202 4700 (Only for USA & Canada) Land line: 011 - 41898872 (for other countries) Europe (for 28 countries in Europe): UFIN No. – 800 8000 8400 Fax: 011 - 41898801 View more",insurance
Is emergency financial assistance provided under Travel Insurance,"A financial emergency is a situation where the insured loses all or a substantial amount of his/her travel funds due to theft, robbery, mugging or dacoity. Under this benefit the insured is provided with Emergency Cash Assistance up to the limit stated in the Policy. This assistance is provided by the company through a service provider.",insurance
